City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mar Del Plata,AR,-38.0023,-57.5575,54.09,81,0,9.22,clear sky
1,Kodiak,US,57.79,-152.4072,51.31,76,100,10.36,light rain
2,Ushuaia,AR,-54.8,-68.3,47.86,61,0,3.44,clear sky
3,Hithadhoo,MV,-0.6,73.0833,81.73,71,98,15.3,overcast clouds
4,Ribeira Grande,PT,38.5167,-28.7,70.11,81,99,3.76,overcast clouds
5,Chiradzulu,MW,-15.6746,35.1407,69.51,42,1,3.38,clear sky
6,Barrow,US,71.2906,-156.7887,24.82,93,100,19.57,overcast clouds
7,Tyumentsevo,RU,53.3224,81.498,30.06,90,1,6.73,clear sky
8,Berkak,NO,62.825,10.0118,42.94,84,92,6.76,overcast clouds
9,Bethel,US,41.3712,-73.414,52.57,73,100,5.99,moderate rain
10,Maraa,BR,-1.8333,-65.3667,79.5,71,84,0.94,broken clouds
11,Avarua,CK,-21.2078,-159.775,77.05,73,75,21.85,broken clouds
12,Vaini,TO,-21.2,-175.2,80.76,83,75,14.97,broken clouds
13,Hagere Selam,ET,6.4833,38.5167,48.6,98,100,3.69,light rain
14,Luderitz,NA,-26.6481,15.1594,58.33,79,4,19.08,clear sky
15,Yellowknife,CA,62.456,-114.3525,48.72,57,75,10.36,broken clouds
16,Williamsport,US,41.2412,-77.0011,53.62,77,0,4.61,clear sky
17,Longyearbyen,SJ,78.2186,15.6401,36.95,94,98,2.98,overcast clouds
18,Carnarvon,AU,-24.8667,113.6333,65.44,49,0,8.5,clear sky
19,Broome,US,42.2506,-75.833,53.67,67,0,3.44,clear sky
20,Jamestown,US,42.097,-79.2353,54.99,51,0,8.05,clear sky
21,Oron,NG,4.8256,8.2343,74.59,91,70,2.8,broken clouds
22,Chokurdakh,RU,70.6333,147.9167,22.39,89,99,5.5,overcast clouds
23,Turukhansk,RU,65.8167,87.9833,31.17,79,79,18.86,broken clouds
24,Busselton,AU,-33.65,115.3333,50.45,75,0,9.91,clear sky
25,Plouzane,FR,48.3833,-4.6167,59.18,97,75,5.75,broken clouds
26,Olafsvik,IS,64.8945,-23.7142,44.33,84,100,27.67,light rain
27,College Station,US,30.628,-96.3344,87.67,20,0,8.05,clear sky
28,Hobart,AU,-42.8794,147.3294,54.05,57,40,13.8,scattered clouds
29,Tecpan,GT,14.7623,-90.9947,63.61,92,84,2.98,broken clouds
30,Matara,LK,5.9485,80.5353,77.27,87,91,14.18,overcast clouds
31,Marcon,FR,47.7106,0.511,52.38,67,48,6.53,scattered clouds
32,Hambantota,LK,6.1241,81.1185,78.51,79,91,18.48,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,53.47,49,100,10.4,overcast clouds
34,Sitka,US,57.0531,-135.33,57.09,62,40,4.61,scattered clouds
35,Rikitea,PF,-23.1203,-134.9692,70.9,71,92,18.07,overcast clouds
36,Caledon,ZA,-34.23,19.4265,51.06,90,0,3.36,clear sky
37,Qaanaaq,GL,77.484,-69.3632,15.73,72,100,6.73,overcast clouds
38,Conde,BR,-7.2597,-34.9075,76.46,78,0,9.22,clear sky
39,Vangaindrano,MG,-23.35,47.6,66.61,93,27,5.64,scattered clouds
40,Harper,LR,4.375,-7.7169,75.43,91,98,5.12,moderate rain
41,Manuk Mangkaw,PH,4.8,119.85,83.86,71,100,7.25,overcast clouds
42,Sungairaya,ID,0.7,108.9,75.67,94,87,6.53,overcast clouds
43,Kapaa,US,22.0752,-159.319,84.09,61,0,12.66,clear sky
44,Atuona,PF,-9.8,-139.0333,76.66,72,13,17.63,few clouds
45,Torbay,CA,47.6666,-52.7314,46.17,70,40,6.91,scattered clouds
46,Hermanus,ZA,-34.4187,19.2345,53.8,78,0,7.83,clear sky
47,Nimes,FR,43.8333,4.35,62.15,82,0,8.05,clear sky
48,Gobabis,NA,-22.45,18.9667,70.09,16,0,8.03,clear sky
49,Kahului,US,20.8947,-156.47,79.97,90,100,10.36,light rain
50,Shellbrook,CA,53.2168,-106.4011,65.43,29,77,5.48,broken clouds
51,Ugoofaaru,MV,5.6667,73.0,81.46,78,99,17.43,moderate rain
